job_title,company,url,experience,salary,location,skills,Role,,job_id
"Software Trainee, Software Developer, Software Tester",Quickxpert Infotech,https://www.naukri.com/job-listings-software-trainee-software-developer-software-tester-quickxpert-infotech-kolkata-hyderabad-secunderabad-pune-ahmedabad-gurgaon-gurugram-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-4-years-200722006881,0-4 Yrs,Not disclosed,"['Kolkata', 'Hyderabad/Secunderabad', 'Pune', 'Ahmedabad', 'Gurgaon/Gurugram', 'Chennai', 'Bangalore/Bengaluru', 'Delhi / NCR', 'Mumbai (All Areas)']","['c++', 'software testing', 'HTML', 'SQL', 'java', 'training', 'css', 'development']",software-developer,,72
Software Developer For Thane Location,IDZ Digital,https://www.naukri.com/job-listings-software-developer-for-thane-location-idz-digital-mumbai-mumbai-suburban-0-to-2-years-030223008205,0-2 Yrs,"1,75,000 - 3,00,000 PA.","['Mumbai', 'Mumbai Suburban']","['game developer', 'Unity3D', 'java', 'software developer', 'game programmer', 'software', 'game programming', 'android']",software-developer,,73
"Software Developer/software Engineer(b.e,b.tech,m.tech & MCA Freshers)",jj Consultancy,https://www.naukri.com/job-listings-software-developer-software-engineer-b-e-b-tech-m-tech-mca-freshers-jj-consultancy-vijayawada-visakhapatnam-vizag-hyderabad-secunderabad-0-to-3-years-200422010419,0-3 Yrs,"6,00,000 - 12,00,000 PA.","['Vijayawada', 'Visakhapatnam', 'Hyderabad/Secunderabad']","['software development', 'java', '.net', 'software engineering', 'software testing', 'program', 'software', 'software programming']",software-developer,,74
Software Engineer / Programmer / Developer,ITLPro Solutions,https://www.naukri.com/job-listings-software-engineer-programmer-developer-itlpro-solutions-private-limited-pune-0-to-5-years-070318500128,0-5 Yrs,Not disclosed,['Pune'],"['software engineering', 'integration', 'c++', 'c', 'programming', 'php', 'mysql', 'configuration']",software-developer,,75
Senior Software Developer,Siemens,https://www.naukri.com/job-listings-senior-software-developer-siemens-limited-bangalore-bengaluru-0-to-8-years-130223500339,0-8 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['ooad', 'software development', 'senior', 'wpf', 'architecture', 'consulting', 'software', 'debugging']",software-developer,,76
MDM EBX Software Developer,Business Brio,https://www.naukri.com/job-listings-mdm-ebx-software-developer-business-brio-kolkata-3-to-8-years-180320500597,3-8 Yrs,Not disclosed,['Kolkata'],"['Object oriented design', 'Maven', 'ERP', 'Master data management', 'XML', 'JSP', 'Javascript', 'TIBCO']",software-developer,,77
"JOB || Fiserv || Software Developer(Pune, Chennai)",Fiserv,https://www.naukri.com/job-listings-fiserv-software-developer-pune-chennai-fiserv-pune-chennai-1-to-5-years-030223009959,1-5 Yrs,Not disclosed,"['Pune', 'Chennai']","['Unix', 'SQL', 'software development', 'java', 'boot', 'spring boot', 'bootstrap', 'spring']",software-developer,,78
Software Developer: Microsoft,IBM,https://www.naukri.com/job-listings-software-developer-microsoft-ibm-india-pvt-limited-pune-4-to-8-years-020223911928,4-8 Yrs,Not disclosed,['Pune'],"['MySQL', 'Application development', 'WCF', 'Oracle', 'microsoft', 'application', 'sdlc', 'consulting']",software-developer,,79
Software Developer(Neo4j),Nexplace Info,https://www.naukri.com/job-listings-software-developer-neo4j-nexplace-info-pune-bangalore-bengaluru-5-to-10-years-020223012481,5-10 Yrs,"11,00,000 - 15,00,000 PA.","['Pune', 'Bangalore/Bengaluru']","['neo4j', 'modeling', 'software development', 'development', 'data modeling', 'data', 'software']",software-developer,,80
Software Developer,Mindtree,https://www.naukri.com/job-listings-software-developer-mindtree-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-180123010604,4-9 Yrs,"5,50,000 - 15,00,000 PA.","['Hybrid - Hyderabad/Secunderabad', 'Pune', 'Chennai', 'Bangalore/Bengaluru']","['.net', 'Full Stack Application Development', 'Full Stack', 'dot net', 'software', 'application development', 'dot', 'software development']",software-developer,,81
Software Developer,EXFO,https://www.naukri.com/job-listings-software-developer-exfo-electro-optical-engineering-india-pvt-ltd-pune-4-to-9-years-301122502838,4-9 Yrs,Not disclosed,['Pune'],"['interpersonal skill', 'software testing', 'software', 'coding', 'front', 'monitoring', 'interpersonal skills', 'unit testing']",software-developer,,82
Software Developer,EXFO,https://www.naukri.com/job-listings-software-developer-exfo-electro-optical-engineering-india-pvt-ltd-pune-3-to-5-years-301122502837,3-5 Yrs,Not disclosed,['Pune'],"['management', 'debugging', 'team management', 'software development', 'sip', 'software', 'telecom', 'linux']",software-developer,,83
